t,d01_err,d02_err,d12_err,o_error,o_error_deg
4.24,0.4180,0.7142,0.8000,1.1180,26.57
4.26,0.4180,0.7142,0.8000,1.1180,26.57
4.28,0.4180,0.7142,0.8000,1.1180,26.57
4.30,0.4180,0.7142,0.8000,1.1180,26.57
4.32,0.4180,0.7142,0.8000,1.1180,26.57
4.34,0.4180,0.7142,0.8000,1.1180,26.57
4.36,0.4180,0.7142,0.8000,1.1180,26.57
4.38,0.4180,0.7142,0.8000,1.1180,26.57
4.40,0.4180,0.7142,0.8000,1.1180,26.57
4.42,0.4180,0.7142,0.8000,1.1180,26.57
4.44,0.4180,0.7142,0.8000,1.1180,26.57
4.46,0.4180,0.7142,0.8000,1.1180,26.57
4.48,0.4180,0.7142,0.8000,1.1180,26.57
4.50,0.4180,0.7142,0.8000,1.1180,26.57
4.52,0.4180,0.7142,0.8000,1.1180,26.57
4.54,0.4180,0.7142,0.8000,1.1180,26.57
4.56,0.4180,0.7142,0.8000,1.1180,26.57
4.58,0.4180,0.7142,0.8000,1.1180,26.57
4.60,0.4180,0.7142,0.8000,1.1180,26.57
4.62,0.4180,0.7142,0.8000,1.1180,26.57
4.64,0.4180,0.7142,0.8000,1.1180,26.57
4.66,0.4180,0.7142,0.8000,1.1180,26.57
4.68,0.4180,0.7142,0.8000,1.1180,26.57
4.70,0.4180,0.7142,0.8000,1.1180,26.57
4.72,0.4180,0.7142,0.8000,1.1180,26.57
4.74,0.4180,0.7142,0.8000,1.1180,26.57
4.76,0.4180,0.7142,0.8000,1.1180,26.57
4.78,0.4180,0.7142,0.8000,1.1180,26.57
4.80,0.4180,0.7142,0.8000,1.1180,26.57
4.82,0.4180,0.7142,0.8000,1.1180,26.57
4.84,0.4180,0.7142,0.8000,1.1180,26.57
4.86,0.4180,0.7142,0.8000,1.1180,26.57
4.88,0.4180,0.7142,0.8000,1.1180,26.57
4.90,0.4180,0.7142,0.8000,1.1180,26.57
4.92,0.4180,0.7142,0.8000,1.1180,26.57
4.94,0.4180,0.7142,0.8000,1.1180,26.57
4.96,0.4180,0.7142,0.8000,1.1180,26.57
4.98,0.4180,0.7142,0.8000,1.1180,26.57
5.00,0.4180,0.7142,0.8000,1.1180,26.57
5.02,0.4180,0.7142,0.8000,0.5831,26.57
5.04,0.4180,0.7142,0.8000,0.5831,26.57
5.06,0.4180,0.7142,0.8000,0.5831,26.57
5.08,0.4180,0.7142,0.8000,0.5831,26.57
5.10,0.4180,0.7142,0.8000,0.5831,26.57
5.12,0.4180,0.7142,0.8000,0.5831,26.57
5.14,0.4180,0.7142,0.8000,0.5831,26.57
5.16,0.4180,0.7142,0.8000,0.5831,26.57
5.18,0.4180,0.7142,0.8000,0.5831,26.57
5.20,0.4180,0.7142,0.8000,0.5831,26.57
5.22,0.4181,0.7142,0.8000,0.5831,26.56
5.24,0.4179,0.7141,0.8000,0.5830,26.57
5.26,0.4175,0.7138,0.8000,0.5828,26.58
5.28,0.4166,0.7131,0.8000,0.5823,26.60
5.30,0.4155,0.7122,0.8000,0.5816,26.63
5.32,0.4139,0.7110,0.8000,0.5807,26.67
5.34,0.4121,0.7095,0.8000,0.5797,26.72
5.36,0.4099,0.7078,0.8000,0.5784,26.78
5.38,0.4073,0.7057,0.8000,0.5770,26.84
5.40,0.4043,0.7034,0.8000,0.5753,26.92
5.42,0.4010,0.7008,0.8000,0.5735,27.01
5.44,0.3974,0.6979,0.8000,0.5715,27.11
5.46,0.3934,0.6948,0.7999,0.5693,27.21
5.48,0.3891,0.6913,0.7990,0.5668,27.30
5.50,0.3845,0.6874,0.7975,0.5638,27.38
5.52,0.3796,0.6832,0.7953,0.5606,27.45
5.54,0.3743,0.6786,0.7925,0.5570,27.51
5.56,0.3688,0.6737,0.7891,0.5530,27.56
5.58,0.3629,0.6683,0.7848,0.5486,27.60
5.60,0.3567,0.6626,0.7798,0.5439,27.62
5.62,0.3501,0.6565,0.7741,0.5387,27.63
5.64,0.3435,0.6503,0.7678,0.5334,27.63
5.66,0.3369,0.6441,0.7616,0.5282,27.62
5.68,0.3303,0.6378,0.7551,0.5229,27.62
5.70,0.3236,0.6314,0.7484,0.5175,27.60
5.72,0.3169,0.6250,0.7414,0.5120,27.57
5.74,0.3103,0.6186,0.7342,0.5065,27.54
5.76,0.3036,0.6121,0.7268,0.5009,27.50
5.78,0.2972,0.6059,0.7195,0.4955,27.45
5.80,0.2905,0.5992,0.7116,0.4898,27.40
5.82,0.2838,0.5926,0.7035,0.4841,27.33
5.84,0.2770,0.5859,0.6952,0.4782,27.26
5.86,0.2703,0.5791,0.6866,0.4723,27.18
5.88,0.2639,0.5727,0.6783,0.4667,27.10
5.90,0.2572,0.5658,0.6693,0.4607,27.00
5.92,0.2504,0.5590,0.6601,0.4546,26.90
5.94,0.2437,0.5520,0.6507,0.4485,26.79
5.96,0.2370,0.5451,0.6411,0.4423,26.66
5.98,0.2303,0.5381,0.6312,0.4361,26.53
6.00,0.2239,0.5310,0.6213,0.4300,26.39
6.02,0.2176,0.5239,0.6112,0.4239,26.24
6.04,0.2115,0.5168,0.6011,0.4180,26.09
6.06,0.2055,0.5097,0.5909,0.4122,25.93
6.08,0.1998,0.5025,0.5808,0.4066,25.78
6.10,0.1943,0.4952,0.5708,0.4012,25.63
6.12,0.1889,0.4880,0.5607,0.3959,25.48
6.14,0.1837,0.4807,0.5506,0.3908,25.33
6.16,0.1790,0.4738,0.5411,0.3861,25.19
6.18,0.1742,0.4664,0.5311,0.3814,25.05
6.20,0.1696,0.4591,0.5212,0.3768,24.91
6.22,0.1651,0.4517,0.5112,0.3724,24.77
6.24,0.1608,0.4443,0.5012,0.3680,24.62
6.26,0.1565,0.4369,0.4911,0.3638,24.48
6.28,0.1524,0.4294,0.4811,0.3596,24.34
6.30,0.1485,0.4220,0.4710,0.3556,24.20
6.32,0.1448,0.4149,0.4614,0.3518,24.06
6.34,0.1410,0.4074,0.4513,0.3479,23.92
6.36,0.1374,0.3999,0.4411,0.3441,23.78
6.38,0.1338,0.3924,0.4309,0.3404,23.64
6.40,0.1304,0.3849,0.4207,0.3368,23.50
6.42,0.1270,0.3774,0.4104,0.3333,23.36
6.44,0.1238,0.3699,0.4002,0.3298,23.22
6.46,0.1206,0.3624,0.3898,0.3264,23.08
6.48,0.1175,0.3549,0.3795,0.3230,22.94
6.50,0.1148,0.3475,0.3692,0.3200,22.81
6.52,0.1117,0.3404,0.3592,0.3167,22.67
6.54,0.1089,0.3329,0.3487,0.3136,22.54
6.56,0.1061,0.3254,0.3382,0.3105,22.40
6.58,0.1034,0.3180,0.3277,0.3075,22.26
6.60,0.1008,0.3106,0.3171,0.3045,22.12
6.62,0.0982,0.3032,0.3065,0.3016,21.99
6.64,0.0957,0.2959,0.2958,0.2987,21.85
6.66,0.0933,0.2886,0.2851,0.2959,21.72
6.68,0.0910,0.2813,0.2744,0.2931,21.58
6.70,0.0887,0.2740,0.2636,0.2904,21.45
6.72,0.0864,0.2668,0.2528,0.2877,21.31
6.74,0.0842,0.2597,0.2420,0.2850,21.18
6.76,0.0821,0.2525,0.2311,0.2824,21.04
6.78,0.0802,0.2458,0.2208,0.2800,20.92
6.80,0.0780,0.2385,0.2093,0.2774,20.78
6.82,0.0762,0.2321,0.1990,0.2750,20.65
6.84,0.0742,0.2257,0.1884,0.2726,20.52
6.86,0.0724,0.2197,0.1780,0.2702,20.39
6.88,0.0705,0.2142,0.1679,0.2678,20.26
6.90,0.0688,0.2092,0.1580,0.2655,20.13
6.92,0.0670,0.2045,0.1483,0.2632,20.00
6.94,0.0653,0.2001,0.1388,0.2609,19.87
6.96,0.0637,0.1961,0.1297,0.2586,19.74
6.98,0.0621,0.1923,0.1209,0.2564,19.61
7.00,0.0605,0.1888,0.1125,0.2543,19.49
7.02,0.0590,0.1856,0.1043,0.2542,19.53
7.04,0.0547,0.1823,0.0943,0.2522,19.50
7.06,0.0507,0.1787,0.0828,0.2490,19.36
7.08,0.0473,0.1749,0.0720,0.2466,19.26
7.10,0.0440,0.1707,0.0609,0.2445,19.18
7.12,0.0412,0.1661,0.0495,0.2424,19.09
7.14,0.0390,0.1616,0.0385,0.2404,18.98
7.16,0.0370,0.1570,0.0282,0.2387,18.90
7.18,0.0351,0.1523,0.0186,0.2374,18.84
7.20,0.0331,0.1471,0.0087,0.2359,18.76
7.22,0.0313,0.1416,0.0013,0.2342,18.67
7.24,0.0295,0.1360,0.0113,0.2326,18.58
7.26,0.0277,0.1300,0.0211,0.2310,18.49
7.28,0.0261,0.1242,0.0302,0.2296,18.41
7.30,0.0245,0.1181,0.0394,0.2280,18.31
7.32,0.0230,0.1124,0.0481,0.2264,18.22
7.34,0.0215,0.1071,0.0565,0.2248,18.12
7.36,0.0201,0.1025,0.0642,0.2234,18.03
7.38,0.0187,0.0979,0.0718,0.2219,17.93
7.40,0.0174,0.0938,0.0790,0.2203,17.83
7.42,0.0162,0.0903,0.0855,0.2189,17.74
7.44,0.0150,0.0870,0.0920,0.2174,17.63
7.46,0.0138,0.0841,0.0982,0.2158,17.53
7.48,0.0127,0.0816,0.1040,0.2143,17.42
7.50,0.0116,0.0795,0.1094,0.2128,17.31
7.52,0.0106,0.0778,0.1145,0.2112,17.20
7.54,0.0097,0.0766,0.1191,0.2099,17.11
7.56,0.0087,0.0757,0.1235,0.2084,17.00
7.58,0.0079,0.0753,0.1277,0.2069,16.89
7.60,0.0070,0.0752,0.1315,0.2054,16.78
7.62,0.0062,0.0756,0.1350,0.2039,16.67
7.64,0.0054,0.0764,0.1382,0.2024,16.56
7.66,0.0047,0.0775,0.1412,0.2010,16.45
7.68,0.0040,0.0787,0.1437,0.1995,16.34
7.70,0.0034,0.0798,0.1462,0.1981,16.22
7.72,0.0028,0.0808,0.1487,0.1966,16.11
7.74,0.0022,0.0818,0.1513,0.1952,16.00
7.76,0.0016,0.0826,0.1538,0.1938,15.89
7.78,0.0011,0.0834,0.1564,0.1924,15.78
7.80,0.0006,0.0841,0.1589,0.1910,15.67
7.82,0.0001,0.0847,0.1614,0.1896,15.57
7.84,0.0003,0.0853,0.1638,0.1882,15.46
7.86,0.0007,0.0858,0.1662,0.1869,15.35
7.88,0.0011,0.0862,0.1686,0.1855,15.24
7.90,0.0015,0.0866,0.1710,0.1842,15.13
7.92,0.0018,0.0869,0.1733,0.1828,15.03
7.94,0.0022,0.0872,0.1756,0.1815,14.92
7.96,0.0025,0.0874,0.1778,0.1802,14.81
7.98,0.0028,0.0876,0.1800,0.1789,14.71
8.00,0.0030,0.0878,0.1820,0.1777,14.62
8.02,0.0033,0.0879,0.1841,0.1764,14.51
8.04,0.0035,0.0879,0.1860,0.1753,14.42
8.06,0.0037,0.0880,0.1880,0.1740,14.32
8.08,0.0039,0.0880,0.1899,0.1728,14.21
8.10,0.0041,0.0880,0.1916,0.1717,14.12
8.12,0.0043,0.0879,0.1934,0.1704,14.02
8.14,0.0044,0.0879,0.1951,0.1693,13.93
8.16,0.0046,0.0878,0.1967,0.1681,13.83
8.18,0.0047,0.0877,0.1983,0.1669,13.73
8.20,0.0049,0.0875,0.1998,0.1657,13.63
8.22,0.0050,0.0874,0.2012,0.1645,13.54
8.24,0.0051,0.0872,0.2026,0.1633,13.44
8.26,0.0052,0.0870,0.2038,0.1621,13.34
8.28,0.0053,0.0868,0.2050,0.1609,13.25
8.30,0.0054,0.0866,0.2061,0.1598,13.15
8.32,0.0054,0.0864,0.2072,0.1586,13.05
8.34,0.0055,0.0862,0.2081,0.1575,12.96
8.36,0.0055,0.0860,0.2089,0.1565,12.88
8.38,0.0056,0.0857,0.2097,0.1553,12.78
8.40,0.0056,0.0855,0.2103,0.1542,12.69
8.42,0.0057,0.0852,0.2109,0.1531,12.60
8.44,0.0057,0.0850,0.2114,0.1521,12.52
8.46,0.0057,0.0848,0.2118,0.1510,12.43
8.48,0.0058,0.0846,0.2120,0.1500,12.34
8.50,0.0058,0.0843,0.2122,0.1489,12.25
8.52,0.0058,0.0841,0.2123,0.1478,12.16
8.54,0.0058,0.0839,0.2123,0.1467,12.07
8.56,0.0058,0.0838,0.2122,0.1457,11.99
8.58,0.0058,0.0836,0.2119,0.1446,11.90
8.60,0.0058,0.0834,0.2116,0.1436,11.81
8.62,0.0058,0.0833,0.2111,0.1426,11.73
8.64,0.0058,0.0832,0.2106,0.1416,11.65
8.66,0.0058,0.0831,0.2099,0.1406,11.57
8.68,0.0057,0.0831,0.2092,0.1397,11.49
8.70,0.0057,0.0830,0.2083,0.1387,11.41
8.72,0.0057,0.0830,0.2073,0.1377,11.33
8.74,0.0057,0.0831,0.2061,0.1367,11.25
8.76,0.0056,0.0832,0.2049,0.1358,11.16
8.78,0.0056,0.0833,0.2035,0.1348,11.08
8.80,0.0056,0.0835,0.2020,0.1338,11.00
8.82,0.0056,0.0837,0.2004,0.1330,10.93
8.84,0.0055,0.0839,0.1989,0.1322,10.87
8.86,0.0055,0.0842,0.1970,0.1313,10.79
8.88,0.0055,0.0846,0.1950,0.1303,10.72
8.90,0.0054,0.0850,0.1929,0.1294,10.64
8.92,0.0054,0.0855,0.1908,0.1286,10.57
8.94,0.0053,0.0861,0.1885,0.1277,10.50
8.96,0.0053,0.0867,0.1860,0.1268,10.43
8.98,0.0053,0.0874,0.1835,0.1259,10.35
9.00,0.0052,0.0909,0.1823,0.1250,10.28
9.02,0.0052,0.0944,0.1812,0.1241,10.20
9.04,0.0051,0.0978,0.1799,0.1232,10.13
9.06,0.0051,0.1011,0.1783,0.1223,10.05
9.08,0.0051,0.1039,0.1767,0.1216,9.99
9.10,0.0050,0.1068,0.1747,0.1207,9.92
9.12,0.0050,0.1095,0.1726,0.1198,9.85
9.14,0.0049,0.1120,0.1702,0.1190,9.78
9.16,0.0049,0.1144,0.1676,0.1181,9.70
9.18,0.0048,0.1167,0.1647,0.1173,9.63
9.20,0.0048,0.1188,0.1620,0.1164,9.56
9.22,0.0047,0.1204,0.1596,0.1156,9.50
9.24,0.0047,0.1216,0.1576,0.1148,9.43
9.26,0.0046,0.1225,0.1558,0.1139,9.36
9.28,0.0046,0.1231,0.1541,0.1131,9.29
9.30,0.0045,0.1234,0.1525,0.1123,9.22
9.32,0.0045,0.1233,0.1511,0.1115,9.16
9.34,0.0045,0.1230,0.1499,0.1108,9.10
9.36,0.0044,0.1223,0.1488,0.1100,9.03
9.38,0.0044,0.1212,0.1478,0.1092,8.97
9.40,0.0043,0.1197,0.1471,0.1084,8.90
9.42,0.0043,0.1178,0.1466,0.1076,8.84
9.44,0.0042,0.1156,0.1463,0.1069,8.78
9.46,0.0042,0.1130,0.1463,0.1061,8.71
9.48,0.0041,0.1107,0.1461,0.1054,8.66
9.50,0.0041,0.1085,0.1457,0.1047,8.59
9.52,0.0041,0.1066,0.1451,0.1040,8.54
9.54,0.0040,0.1048,0.1445,0.1032,8.47
9.56,0.0040,0.1032,0.1437,0.1025,8.41
9.58,0.0039,0.1019,0.1427,0.1018,8.35
9.60,0.0039,0.1006,0.1418,0.1010,8.29
9.62,0.0038,0.0994,0.1409,0.1004,8.24
9.64,0.0038,0.0983,0.1398,0.0996,8.18
9.66,0.0038,0.0972,0.1387,0.0989,8.12
9.68,0.0037,0.0962,0.1376,0.0982,8.06
9.70,0.0037,0.0954,0.1365,0.0976,8.01
9.72,0.0036,0.0945,0.1353,0.0969,7.95
9.74,0.0036,0.0937,0.1342,0.0962,7.90
9.76,0.0036,0.0930,0.1330,0.0955,7.84
9.78,0.0035,0.0923,0.1318,0.0949,7.79
9.80,0.0035,0.0916,0.1306,0.0942,7.73
9.82,0.0035,0.0910,0.1294,0.0936,7.68
9.84,0.0034,0.0903,0.1282,0.0929,7.63
9.86,0.0034,0.0898,0.1270,0.0923,7.57
9.88,0.0034,0.0892,0.1258,0.0916,7.52
9.90,0.0033,0.0886,0.1246,0.0910,7.47
