t,freq,d21_err,d23_err,d24_err,d32_err,d34_err,d41_err,d42_err,d43_err,o_error
23.581,1031.11,0.005869870781880504,-0.004222534075791762,-0.007618394773632353,-0.004222534075791762,0.004322604284677123,0.0052413509515853995,-0.007618394773632353,0.004322604284677123,0.029945951899521355
23.601,851.12,0.0043174751944987655,-0.0005061465222312433,-0.00808863318981956,-0.0005061465222312433,0.004793352622689984,0.004921582791169721,-0.00808863318981956,0.004793352622689984,0.031810491597976734
23.62,1110.88,0.003111156358179379,0.00282822141302308,-0.007772586452964969,0.00282822141302308,0.00542863153262374,0.005289191829236595,-0.007772586452964969,0.00542863153262374,0.033465478964181075
23.64,1030.22,0.0023924331198026394,0.005575994260409667,-0.007485499975075527,0.005575994260409667,0.005301244217932766,0.005966142498023075,-0.007485499975075527,0.005301244217932766,0.03485296894897923
23.661,1032.6,0.001238101241451961,0.007622526372768057,-0.007389955736147424,0.007622526372768057,0.005404930879907788,0.0071950162197675915,-0.007389955736147424,0.005404930879907788,0.035682024402581926
23.681,1629.6,0.0008634843642316703,0.008653704438639886,-0.006662055770585873,0.008653704438639886,0.0051774335647620795,0.008576102302368938,-0.006662055770585873,0.0051774335647620795,0.0366262375511612
23.701,1042.41,-2.021092369131061e-05,0.009251538471497955,-0.006183871928627127,0.009251538471497955,0.004464883829668587,0.010797510136528077,-0.006183871928627127,0.004464883829668587,0.036768082264898506
23.721,1000.2,-0.0005551429385970419,0.008792930301124269,-0.005455988432068182,0.008792930301124269,0.0041266931610488555,0.013239031202870954,-0.005455988432068182,0.0041266931610488555,0.03658424777507148
23.74,989.66,-0.0008117492193475684,0.00760504946820606,-0.004935491997414498,0.00760504946820606,0.0032234018836905243,0.015403157031486758,-0.004935491997414498,0.0032234018836905243,0.03597276306312341
23.761,1183.34,-0.0008431920496767553,0.006287433428211919,-0.004804878663979828,0.006287433428211919,0.002522180252613193,0.01637257220234356,-0.004804878663979828,0.002522180252613193,0.035996161577432635
23.781,1079.16,-0.0008227828995592823,0.0033792155266105794,-0.0048073768287504315,0.0033792155266105794,0.0010477800462993514,0.017544942423323606,-0.0048073768287504315,0.0010477800462993514,0.03452972772393578
23.8,1007.25,-0.0001609224382483898,0.00013740755031133034,-0.004563344882562603,0.00013740755031133034,0.0005632447945274066,0.018363245782580417,-0.004563344882562603,0.0005632447945274066,0.03297740400710049
23.821,760.34,0.0003702001322687387,-0.0028101413426135924,-0.004153415213384193,-0.0028101413426135924,0.0003585804953405436,0.018969002716971994,-0.004153415213384193,0.0003585804953405436,0.031894314075508294
23.84,972.8,0.0010415457692318775,-0.006408284203106573,-0.0034414468269208243,-0.006408284203106573,0.0002262803686359227,0.019563112322600107,-0.0034414468269208243,0.0002262803686359227,0.030061252218637948
23.861,1021.34,0.002074181667945041,-0.010118008213237828,-0.0031693961661929393,-0.010118008213237828,0.0008639813276203334,0.019748300530564977,-0.0031693961661929393,0.0008639813276203334,0.028380796568245447
23.881,972.41,0.0033236931186713115,-0.013908306144206461,-0.00287354365597281,-0.013908306144206461,0.0014115581995817195,0.019294327255787724,-0.00287354365597281,0.0014115581995817195,0.02627629868181561
23.9,1021.5,0.004440225443489876,-0.017411231763732382,-0.0029539101558491154,-0.017411231763732382,0.0017980691822172545,0.018487400330517767,-0.0029539101558491154,0.0017980691822172545,0.02395931285051444
23.921,1073.71,0.0054255308272974645,-0.020472756525577784,-0.003303751050256043,-0.020472756525577784,0.002879719044432072,0.01733040386502105,-0.003303751050256043,0.002879719044432072,0.021852095993696675
23.94,1005.23,0.006135910728049421,-0.022401325854499388,-0.003599352097122477,-0.022401325854499388,0.0035330904462100854,0.015962076932934277,-0.003599352097122477,0.0035330904462100854,0.02058335625509512
23.96,1096.33,0.006922988536177677,-0.02389841104806134,-0.004449814878298763,-0.02389841104806134,0.004047409590692386,0.014680462907615155,-0.004449814878298763,0.004047409590692386,0.019469902022280945
23.981,1037.22,0.007150267047216996,-0.02475580282989609,-0.005858773047007215,-0.02475580282989609,0.004130353137086651,0.013396977676028099,-0.005858773047007215,0.004130353137086651,0.018204982698240793
24.001,1171.38,0.007452859657250954,-0.025110210017112777,-0.007226038085554887,-0.025110210017112777,0.004783556370836273,0.011974639511355578,-0.007226038085554887,0.004783556370836273,0.01720790346292912
24.02,989.07,0.007539748208806429,-0.024478123485485392,-0.007921798793839585,-0.024478123485485392,0.005236926748466431,0.01097292770699343,-0.007921798793839585,0.005236926748466431,0.017078520258211695
24.041,942.95,0.007481398696895791,-0.023914127912245564,-0.008678445965493609,-0.023914127912245564,0.005213941275429068,0.01047704308238484,-0.008678445965493609,0.005213941275429068,0.01752631750155511
24.06,1142.85,0.007636973515228629,-0.023067280639695542,-0.009084907086566396,-0.023067280639695542,0.005755730431188155,0.009832326295381,-0.009084907086566396,0.005755730431188155,0.01799536703833999
24.081,1411.89,0.0075838663096696735,-0.021586459593043394,-0.009393173915947628,-0.021586459593043394,0.0062284343313279145,0.009256053954670884,-0.009393173915947628,0.0062284343313279145,0.01819194641789328
24.101,1004.01,0.007039601749007751,-0.01989258173640196,-0.010301799412262724,-0.01989258173640196,0.0059298041472026775,0.008895080611610817,-0.010301799412262724,0.0059298041472026775,0.017989534033131138
24.12,1032.19,0.007126010659419979,-0.017579298803441334,-0.009500867283602776,-0.017579298803441334,0.005497528526916096,0.008879915611628597,-0.009500867283602776,0.005497528526916096,0.01863375272868789
24.141,1107.8,0.007567713943693377,-0.015540549161544237,-0.008573140654945188,-0.015540549161544237,0.005637941124847501,0.00900935894645527,-0.008573140654945188,0.005637941124847501,0.01939024728608742
24.161,1053.8,0.00787095957454742,-0.012722884999996298,-0.00748674996176435,-0.012722884999996298,0.00564346045224795,0.009493485365220433,-0.00748674996176435,0.00564346045224795,0.019902474278419346
24.181,1070.28,0.008163400234302731,-0.009337074458469652,-0.006406645331569649,-0.009337074458469652,0.005089362510869666,0.010192802868673523,-0.006406645331569649,0.005089362510869666,0.021219812013132965
24.2,957.81,0.007673399548874915,-0.006017904836577603,-0.00571191271234861,-0.006017904836577603,0.004254556165125045,0.01096444497288318,-0.00571191271234861,0.004254556165125045,0.022565792723359963
24.221,922.03,0.007466241622149372,-0.0026963639593562405,-0.00489245405975236,-0.0026963639593562405,0.003351731067532615,0.01195096007462304,-0.00489245405975236,0.003351731067532615,0.02406536434202363
